sync-consumer-1  | 2025-07-23T21:31:26.079882279Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=PaymentMethod
sync-consumer-1  | 2025-07-23T21:31:26.080358724Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=User
sync-consumer-1  | 2025-07-23T21:31:26.083294922Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=Clinic
sync-consumer-1  | 2025-07-23T21:31:26.084008902Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=CoveredClinic
sync-consumer-1  | 2025-07-23T21:31:26.084524109Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=Address
sync-consumer-1  | 2025-07-23T21:31:26.085001382Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=ClinicData
sync-consumer-1  | 2025-07-23T21:31:26.085499596Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=ClinicPhone
sync-consumer-1  | 2025-07-23T21:31:26.085913306Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=Patient
sync-consumer-1  | 2025-07-23T21:31:26.086257757Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=PatientPhone
sync-consumer-1  | 2025-07-23T21:31:26.086711607Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=Contract
sync-consumer-1  | 2025-07-23T21:31:26.087878425Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=Installment
sync-consumer-1  | 2025-07-23T21:31:26.088556582Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=FlowStepConfig
sync-consumer-1  | 2025-07-23T21:31:26.102140745Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=Message
sync-consumer-1  | 2025-07-23T21:31:26.102174730Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=ContactSchedule
sync-consumer-1  | 2025-07-23T21:31:26.102179415Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=ContactHistory
sync-consumer-1  | 2025-07-23T21:31:26.102182171Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=UserClinic
sync-consumer-1  | 2025-07-23T21:31:26.102184651Z 2025-07-23 18:31:26 [debug    ] Registered model in admin      model=PendingSync
sync-consumer-1  | 2025-07-23T21:31:30.843832322Z Warning: Custom fonts not found. Using standard fonts. Error: Can't open file "/app/static/fonts/Roboto-Thin.ttf"
sync-consumer-1  | 2025-07-23T21:31:31.184514111Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=CreateAddressCommand
sync-consumer-1  | 2025-07-23T21:31:31.184549475Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=UpdateAddressCommand
sync-consumer-1  | 2025-07-23T21:31:31.184580521Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=DeleteAddressCommand
sync-consumer-1  | 2025-07-23T21:31:31.184684867Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=CreateClinicCommand
sync-consumer-1  | 2025-07-23T21:31:31.184732264Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=UpdateClinicCommand
sync-consumer-1  | 2025-07-23T21:31:31.184785447Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=DeleteClinicCommand
sync-consumer-1  | 2025-07-23T21:31:31.184850388Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=CreateClinicDataCommand
sync-consumer-1  | 2025-07-23T21:31:31.184898887Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=UpdateClinicDataCommand
sync-consumer-1  | 2025-07-23T21:31:31.184959786Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=CreateClinicPhoneCommand
sync-consumer-1  | 2025-07-23T21:31:31.185008376Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=UpdateClinicPhoneCommand
sync-consumer-1  | 2025-07-23T21:31:31.185068173Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=DeleteClinicPhoneCommand
sync-consumer-1  | 2025-07-23T21:31:31.185125674Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=CreatePatientPhoneCommand
sync-consumer-1  | 2025-07-23T21:31:31.185176836Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=UpdatePatientPhoneCommand
sync-consumer-1  | 2025-07-23T21:31:31.185223865Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=DeletePatientPhoneCommand
sync-consumer-1  | 2025-07-23T21:31:31.185306534Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=CreateUserCommand
sync-consumer-1  | 2025-07-23T21:31:31.185354481Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=UpdateUserCommand
sync-consumer-1  | 2025-07-23T21:31:31.185409685Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=DeleteUserCommand
sync-consumer-1  | 2025-07-23T21:31:31.185481331Z 2025-07-23 18:31:31 [debug    ] Configurando cliente           base_url=https://hmldh.oralsin.com.br/api/v2/ component=BaseAPIClient timeout=300
sync-consumer-1  | 2025-07-23T21:31:31.185729704Z 2025-07-23 18:31:31 [debug    ] OralsinAPIClient inicializado  base_url=https://hmldh.oralsin.com.br/api/v2/
sync-consumer-1  | 2025-07-23T21:31:31.185813842Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=RegisterCoverageClinicCommand
sync-consumer-1  | 2025-07-23T21:31:31.185860871Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=LinkUserClinicCommand
sync-consumer-1  | 2025-07-23T21:31:31.185957134Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=SyncInadimplenciaCommand
sync-consumer-1  | 2025-07-23T21:31:31.186014359Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=UpdateBillingSettingsCommand
sync-consumer-1  | 2025-07-23T21:31:31.186077922Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=CreateRegistrationRequestCommand
sync-consumer-1  | 2025-07-23T21:31:31.186141301Z 2025-07-23 18:31:31 [info     ] MessagingService initialized
sync-consumer-1  | 2025-07-23T21:31:31.186197883Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=ApproveRegistrationRequestCommand
sync-consumer-1  | 2025-07-23T21:31:31.186248494Z 2025-07-23 18:31:31 [debug    ] CommandHandler registrado      command=RejectRegistrationRequestCommand
sync-consumer-1  | 2025-07-23T21:31:31.186317109Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListPatientsQuery
sync-consumer-1  | 2025-07-23T21:31:31.186369282Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetPatientQuery
sync-consumer-1  | 2025-07-23T21:31:31.187377836Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListAddressesQuery
sync-consumer-1  | 2025-07-23T21:31:31.188900129Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetAddressQuery
sync-consumer-1  | 2025-07-23T21:31:31.188915009Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListClinicsQuery
sync-consumer-1  | 2025-07-23T21:31:31.188918132Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetClinicQuery
sync-consumer-1  | 2025-07-23T21:31:31.188921071Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListClinicDataQuery
sync-consumer-1  | 2025-07-23T21:31:31.188937697Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetClinicDataQuery
sync-consumer-1  | 2025-07-23T21:31:31.188940361Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListClinicPhonesQuery
sync-consumer-1  | 2025-07-23T21:31:31.188942841Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=GetClinicPhoneQuery
sync-consumer-1  | 2025-07-23T21:31:31.188945229Z 2025-07-23 18:31:31 [debug    ] QueryHandler registrado        query=ListCoveredClinicsQuery
